,endereço,bairro,point_location,latitude,longitude
2465,"Av. Itaboraí, 391 - Bosque da Saúde, São Paulo - SP, 04135-000, Brazil",Bosque da Saúde,"23 36m 29.8343s S, 46 37m 49.291s W",-23.6083758,-46.6301529
2466,"R. Cel. Artur de Paula Ferreira, 95 - Vila Nova Conceição, São Paulo - SP, 04511-060, Brazil",Vila Nova Conceição,"23 35m 46.4788s S, 46 40m 11.145s W",-23.5962441,-46.6697625
2467,"Condomínio Edifício Palmares - Rua Sergipe, 575 - Higienópolis, São Paulo - SP, 01243-001, Brazil",Higienópolis,"23 32m 51.252s S, 46 39m 32.7258s W",-23.5475703,-46.659091
2468,"Condomínio Edifício Igarape - R. Jesuíno Arruda, 248 - Itaim Bibi, São Paulo - SP, 04532-080, Brazil",Itaim Bibi,"23 34m 52.7966s S, 46 40m 21.7823s W",-23.5813368,-46.6727268
2469,"Rua Guairá, 205 - Vila da Saúde, São Paulo - SP, 04142-020, Brazil",Vila da Saúde,"23 36m 43.5895s S, 46 37m 53.9663s W",-23.6121082,-46.6316573
2470,"R. Casa do Ator, 891 - Vila Olímpia, São Paulo - SP, 04546-003, Brazil",Vila Olímpia,"23 35m 51.8172s S, 46 40m 55.0747s W",-23.5977601,-46.6820159
2471,"Condominio Edifício Marques Tarragona - Rua Cayowaá, 932 - Perdizes, São Paulo - SP, 05018-001, Brazil",Perdizes,"23 32m 11.6063s S, 46 40m 56.271s W",-23.536562,-46.682289
2472,"R. Basílio da Cunha, 1111 - Vila Deodoro, São Paulo - SP, 01544-001, Brazil",Vila Deodoro,"23 34m 43.7408s S, 46 37m 4.4634s W",-23.5788193,-46.6179128
2473,"R. Maestro Cardim, 1215 - Bela Vista, São Paulo - SP, 01323-001, Brazil",Bela Vista,"23 34m 18.3324s S, 46 38m 30.3209s W",-23.5717496,-46.6416933
2474,"R. Eng. Jorge Oliva, 551 - Jabaquara, São Paulo - SP, 04362-060, Brazil",Vila Mascote,"23 38m 47.6106s S, 46 40m 11.5975s W",-23.6465601,-46.6699247
2475,"R. Piauí, 752 - Higienópolis, São Paulo - SP, 01242-030, Brazil",Higienópolis,"23 32m 42.5983s S, 46 39m 28.5196s W",-23.5451656,-46.6579274
2476,"R. Dias de Toledo, 432 - Vila da Saúde, São Paulo - SP, 04143-030, Brazil",Vila da Saúde,"23 36m 50.4569s S, 46 37m 59.7396s W",-23.6139787,-46.6333533
2477,"Rua Taquarytinga, 182 - Alto da Mooca, São Paulo - SP, 03170-010, Brazil",Alto da Mooca,"23 32m 57.2914s S, 46 35m 38.4608s W",-23.5491468,-46.5940697
2478,"R. Mourato Coelho, 576 - Pinheiros, São Paulo - SP, 05417-001, Brazil",Pinheiros,"23 33m 44.0384s S, 46 41m 17.7126s W",-23.5622782,-46.6884114
2479,"Condomínio Edifício Florida Acapulco - R. Herculano de Freitas, 131 - Bela Vista, São Paulo - SP, 01308-020, Brazil",Bela Vista,"23 33m 19.3108s S, 46 39m 9.7632s W",-23.5553219,-46.6527284
2480,"Av. Giovanni Gronchi, 5201 - Vila Andrade, São Paulo - SP, 05724-003, Brazil",Vila Andrade,"23 37m 22.4656s S, 46 44m 0.61512s W",-23.6229323,-46.733514
2481,"R. Joaquim Macedo, 185 - Jardim Guedala, São Paulo - SP, 05605-020, Brazil",Jardim Guedala,"23 35m 24.1728s S, 46 42m 11.8588s W",-23.5900387,-46.7033245
2482,"Praça Dom Gastão Liberal Pinto, 119 - Vila Nova Conceição, São Paulo - SP, 04534-060, Brazil",Vila Nova Conceição,"23 35m 1.75416s S, 46 40m 13.7435s W",-23.5838176,-46.6703384
2483,"R. João Luís Vives, 147 - Vila Mariana, São Paulo - SP, 04116-080, Brazil",Vila Mariana,"23 35m 37.2124s S, 46 37m 37.2403s W",-23.5936746,-46.6271125
2484,"Alameda Jaú, 358 - Jardim Paulista, São Paulo - SP, 01420-001, Brazil",Jardim Paulista,"23 34m 1.45092s S, 46 39m 12.3181s W",-23.567091,-46.6534403
2485,"R. Cardoso de Almeida, 962 - Perdizes, São Paulo - SP, 05013-001, Brazil",Perdizes,"23 32m 20.4698s S, 46 40m 9.09516s W",-23.539033,-46.6691875
2486,"R. Padre Machado, 844 - Vila da Saúde, São Paulo - SP, 04127-001, Brazil",Vila da Saúde,"23 36m 6.5358s S, 46 37m 42.7004s W",-23.6018155,-46.6285279
2487,"Av. Portugal, 403 - Brooklin, São Paulo - SP, 04559-000, Brazil",Brooklin,"23 36m 46.5739s S, 46 40m 46.713s W",-23.612941,-46.6797389
2488,"Cond Edifício Iguaçu - Av. Caxingui, 283 - Butantã, São Paulo - SP, 05579-000, Brazil",Butantã,"23 34m 22.1102s S, 46 42m 44.6677s W",-23.5728084,-46.7124077
2489,"R. Min. Godói, 420 - Perdizes, São Paulo - SP, 05015-000, Brazil",Perdizes,"23 31m 59.3317s S, 46 40m 9.88212s W",-23.533148,-46.6693989
2490,"Av. Jurucê, 291 - Indianópolis, São Paulo - SP, 04080-011, Brazil",Indianópolis,"23 36m 28.7993s S, 46 39m 44.9305s W",-23.6080155,-46.6626546
2491,"R. do Símbolo, 121 - Jardim Ampliacao, São Paulo - SP, 05713-570, Brazil",Jardim Ampliacao,"23 37m 25.1904s S, 46 43m 48.7636s W",-23.6236949,-46.7301676
2492,"Condomínio Edifício Priscila - R. Maracá, 282 - Vila Guarani, São Paulo - SP, 04313-210, Brazil",Vila Guarani,"23 38m 6.74412s S, 46 38m 20.2819s W",-23.6352067,-46.6389672
2493,"Condomínio Parque dos Cisnes - R. Mal. Deodoro, 135 - Granja Julieta, São Paulo - SP, 04738-000, Brazil",Granja Julieta,"23 38m 18.7883s S, 46 41m 59.7066s W",-23.6385523,-46.6999185
2494,"Alameda Jauaperi, 416 - Indianópolis, São Paulo - SP, 04523-011, Brazil",Indianópolis,"23 36m 2.87316s S, 46 39m 48.514s W",-23.6008427,-46.6632532
2495,"Condominio Edifício Fontana Di Trevi - R. Oscar Freire, 1967 - Jardins, São Paulo - SP, 05409-011, Brazil",Jardins,"23 33m 19.3583s S, 46 40m 32.1096s W",-23.5553773,-46.675586
2496,"R. Pelotas, 323 - Vila Mariana, São Paulo - SP, 04012-001, Brazil",Vila Mariana,"23 34m 56.0215s S, 46 38m 44.5841s W",-23.5822264,-46.6457215
2497,"Av. Pompéia, 1380 - Pompeia, São Paulo - SP, 05022-001, Brazil",Pompeia,"23 32m 8.27952s S, 46 41m 21.2161s W",-23.535681,-46.689074
2498,"Condomínio Edifício Tricelia - R. do Manifesto, 1558 - Ipiranga, São Paulo - SP, 04209-001, Brazil",Ipiranga,"23 35m 13.3408s S, 46 36m 2.06028s W",-23.5870387,-46.6005503
2499,"R. Dr. Seng, 315 - Bela Vista, São Paulo - SP, 01331-020, Brazil",Bela Vista,"23 33m 41.8489s S, 46 39m 2.91276s W",-23.5615864,-46.6506731
2500,"R. Dr. Cândido Espinheira, 18 - Perdizes, São Paulo - SP, 05004-000, Brazil",Perdizes,"23 32m 4.87716s S, 46 39m 36.747s W",-23.534684,-46.660174
2501,"Av. Caxingui, 175 - Vila Pirajussara, São Paulo - SP, 05579-000, Brazil",Vila Pirajussara,"23 34m 14.2435s S, 46 42m 48.7717s W",-23.5707553,-46.713572
2502,"Av. Hélio Pellegrino, 148 - Vila Uberabinha, São Paulo - SP, 04513-100, Brazil",Vila Uberabinha,"23 35m 50.3171s S, 46 39m 59.458s W",-23.597307,-46.666477
2503,"R. Fradique Coutinho, 1612 - Vila Madalena, São Paulo - SP, 05416-002, Brazil",Vila Madalena,"23 33m 13.8442s S, 46 41m 33.927s W",-23.5539091,-46.6928325
2504,"R. Dom Paulo Pedrosa, 668 - Real Parque, São Paulo - SP, 05687-001, Brazil",Real Parque,"23 36m 40.0468s S, 46 42m 27.8356s W",-23.6110025,-46.7076264
2505,"R. Jesuíno Arruda, 756 - Itaim Bibi, São Paulo - SP, 04532-082, Brazil",Itaim Bibi,"23 34m 57.3989s S, 46 40m 39.7582s W",-23.5826108,-46.6777128
2506,"Condomínio Edifício Jaragua - R. Herculano, 420 - Sumarezinho, São Paulo - SP, 01257-030, Brazil",Sumarezinho,"23 32m 37.8643s S, 46 41m 19.09s W",-23.5438512,-46.6886361
2507,"Alameda Itu, 43 - Cerqueira César, São Paulo - SP, 01421-001, Brazil",Cerqueira César,"23 34m 3.35028s S, 46 39m 19.9613s W",-23.5675811,-46.6555311
2508,"R. Diana, 649 - Pompeia, São Paulo - SP, 05019-000, Brazil",Pompeia,"23 32m 2.78772s S, 46 40m 54.3914s W",-23.5342647,-46.6818497
2509,"R. Basílio da Cunha, 956 - Vila Monumento, São Paulo - SP, 01544-001, Brazil",Vila Monumento,"23 34m 39.8017s S, 46 37m 7.76388s W",-23.5776856,-46.6187046
2510,"Condomínio Edifício Opus I - R. Batataes, 453 - Jardim Paulista, São Paulo - SP, 01423-010, Brazil",Jardim Paulista,"23 34m 12.3092s S, 46 39m 27.9119s W",-23.5700754,-46.657735
2511,"Rua Gabriele D'Annunzio, 330 - Campo Belo, São Paulo - SP, 04619-001, Brazil",Campo Belo,"23 37m 14.7119s S, 46 40m 45.8386s W",-23.6205175,-46.6792849
2512,"Condomínio Edifício Dona Rachel - R. Frei Caneca, 1101 - Cerqueira César, São Paulo - SP, 01307-003, Brazil",Cerqueira César,"23 33m 23.4886s S, 46 39m 24.2654s W",-23.5565665,-46.6567703
2513,"Cond Edifício Principe de Galles - Av. Angélica, 1535 - Consolação, São Paulo - SP, 01227-100, Brazil",Consolação,"23 32m 45.456s S, 46 39m 28.0494s W",-23.54596,-46.6577915
2514,"R. Cel. Diogo, 1128 - Jardim da Gloria, São Paulo - SP, 01545-001, Brazil",Jardim da Gloria,"23 34m 46.8973s S, 46 37m 2.78508s W",-23.5796937,-46.6174403
2515,"R. Dr. Albuquerque Lins, 544 - Higienópolis, São Paulo - SP, 01230-001, Brazil",Higienópolis,"23 32m 5.40816s S, 46 39m 22.631s W",-23.534803,-46.656283
2516,"Condomínio Edifício Tayana - R. Gen. Chagas Santos, 197 - Vila da Saúde, São Paulo - SP, 04146-050, Brazil",Vila da Saúde,"23 36m 55.7222s S, 46 37m 34.7354s W",-23.615476,-46.626296
2517,"R. Tijuco Preto, 845 - Vila Gomes Cardim, São Paulo - SP, 03316-000, Brazil",Vila Gomes Cardim,"23 32m 35.1197s S, 46 34m 3.30276s W",-23.5431228,-46.5675631
2518,"R. Clímaco Barbosa, 500 - cj.306 - Cambuci, São Paulo - SP, 01523-000, Brazil",Cambuci,"23 33m 55.1498s S, 46 36m 57.1345s W",-23.5653004,-46.6158602
2519,"R. Quatá, 960 - Vila Olímpia, São Paulo - SP, 04546-044, Brazil",Vila Olímpia,"23 35m 45.915s S, 46 40m 56.2912s W",-23.5961654,-46.682337
2520,"R. Azevedo Macedo, 57 - Vila Mariana, São Paulo - SP, 04013-060, Brazil",Vila Mariana,"23 34m 51.5665s S, 46 38m 24.0256s W",-23.580942,-46.640089
2521,"Rua Álvaro Luís Roberto de Assumpção, 321 - Brooklin, São Paulo - SP, 04618-020, Brazil",Brooklin,"23 37m 5.90844s S, 46 40m 40.7453s W",-23.618411,-46.678034
2522,"R. Conceição Marcondes Silva, 158 - Vila Congonhas, São Paulo - SP, 04624-090, Brazil",Vila Congonhas,"23 37m 36.0678s S, 46 40m 5.9304s W",-23.626672,-46.6681684
2523,"R. Tiangua, 147 - Vila Mascote, São Paulo - SP, 04363-100, Brazil",Vila Mascote,"23 38m 50.2642s S, 46 39m 48.8012s W",-23.6473981,-46.6637213
2524,"R. Rio Preto, 78 - Cerqueira César, São Paulo - SP, 01426-010, Brazil",Cerqueira César,"23 33m 59.3712s S, 46 39m 58.6854s W",-23.566492,-46.6663015
2525,"R. Comendador Miguel Calfat, 87 - Vila Nova Conceição, São Paulo - SP, 04537-080, Brazil",Vila Nova Conceição,"23 35m 33.518s S, 46 40m 24.6558s W",-23.5924804,-46.67354
2526,"Condomínio Edifício Caburai - R. José Maria Lisboa, 155 - Cerqueira César, São Paulo - SP, 01423-001, Brazil",Cerqueira César,"23 34m 16.221s S, 46 39m 16.924s W",-23.5711758,-46.6546534
2527,"R. Gaivota, 646 - Indianópolis, São Paulo - SP, 04522-031, Brazil",Indianópolis,"23 36m 6.98436s S, 46 39m 59.0875s W",-23.6019401,-46.6664132
2528,"R. Nebraska, 267 - Brooklin, São Paulo - SP, 04560-010, Brazil",Brooklin,"23 36m 41.697s S, 46 40m 48.8716s W",-23.6114498,-46.6802723
2529,"Rua Dr. Gabriel dos Santos, 388 - Santa Cecilia, São Paulo - SP, 01231-010, Brazil",Santa Cecilia,"23 32m 9.01104s S, 46 39m 34.573s W",-23.5359075,-46.6594947
2530,"R. Itacolomi, 581 - Consolação, São Paulo - SP, 01239-020, Brazil",Consolação,"23 32m 55.6858s S, 46 39m 26.4132s W",-23.5486478,-46.657427
2531,"R. Fortunato, 248 - Vila Buarque, São Paulo - SP, 01224-030, Brazil",Vila Buarque,"23 32m 27.6194s S, 46 39m 7.5996s W",-23.5410759,-46.6520365
2532,"Condomínio Edifício Magdalena - R. Capote Valente, 189 - Cerqueira César, São Paulo - SP, 05409-000, Brazil",Cerqueira César,"23 33m 34.8638s S, 46 40m 27.107s W",-23.5596844,-46.6741964
2533,"Travessa Paschoal Astolpho, 245 - Vila Ipojuca, São Paulo - SP, 05055-060, Brazil",Vila Ipojuca,"23 32m 1.38192s S, 46 42m 10.0912s W",-23.533593,-46.702886
2534,"Rua Tabapuã, 1525 - Itaim Bibi, São Paulo - SP, 04533-014, Brazil",Itaim Bibi,"23 35m 8.89548s S, 46 41m 6.60228s W",-23.5858043,-46.6851673
2535,"R. Dr. Fláquer, 808 - Paraíso, São Paulo - SP, 04006-010, Brazil",Paraíso,"23 34m 41.3947s S, 46 38m 55.9979s W",-23.5781475,-46.6488317
2536,"R. Tumiaru, 220 - Vila Mariana, São Paulo - SP, 04008-050, Brazil",Vila Mariana,"23 34m 50.7994s S, 46 39m 10.9897s W",-23.5808741,-46.6529586
2537,"R. Barão de Tatuí, 533 - Vila Buarque, São Paulo - SP, 01226-031, Brazil",Vila Buarque,"23 32m 26.2835s S, 46 39m 16.2166s W",-23.5406271,-46.6545169
2538,"Rua Francisco Dias Velho, 66 - Vila Cordeiro, São Paulo - SP, 04581-000, Brazil",Vila Cordeiro,"23 37m 14.7803s S, 46 41m 4.0812s W",-23.6208425,-46.6845247
2539,"R. Alcindo Guanabara, 36 - Jardim da Gloria, São Paulo - SP, 01546-020, Brazil",Jardim da Gloria,"23 34m 52.4042s S, 46 37m 27.7871s W",-23.5812234,-46.6243853
2540,"R. Padre Raposo, 922 - conjunto 2 - Mooca, São Paulo - SP, 03118-001, Brazil",Mooca,"23 33m 48.1259s S, 46 35m 39.1528s W",-23.5633306,-46.594232
2541,"Condomínio Edifício Mares do Sul - R. David Ben Gurion, 660 - Pacaembu, São Paulo - SP, 05634-001, Brazil",Pacaembu,"23 36m 24.8443s S, 46 44m 12.0556s W",-23.6068666,-46.73668
2542,"R. dos Escultores, 597 - Boaçava, São Paulo - SP, 05469-010, Brazil",Boaçava,"23 32m 36.5442s S, 46 43m 27.9692s W",-23.5434098,-46.7244373
2543,"R. Itaiteva, 208 - Jardim Ampliacao, São Paulo - SP, 05713-470, Brazil",Jardim Ampliacao,"23 37m 32.1085s S, 46 43m 53.9861s W",-23.6255516,-46.7315158
2544,"Condomínio Edifício Maison Louvre - R. Cerro Corá, 594 - Vila Romana, São Paulo - SP, 05061-100, Brazil",Vila Romana,"23 32m 24.6718s S, 46 42m 10.7374s W",-23.5401872,-46.7029841
2545,"R. Prof. Filadelfo Azevedo, 639 - Vila Nova Conceição, São Paulo - SP, 04508-011, Brazil",Vila Nova Conceição,"23 35m 18.245s S, 46 40m 13.9087s W",-23.5883866,-46.6705385
2546,"Rua Loefgren, 2401 - Vila Clementino, São Paulo - SP, 04040-033, Brazil",Vila Clementino,"23 35m 57.0487s S, 46 38m 56.2996s W",-23.5990985,-46.6488071
2547,"Rua Tamandaré, 770 - Liberdade, São Paulo - SP, 01509, Brazil",Liberdade,"23 33m 55.1992s S, 46 38m 10.3646s W",-23.565324,-46.636189
2548,"R. Tatuí, 70 - Jardim Paulista, São Paulo - SP, 01409-010, Brazil",Jardim Paulista,"23 33m 58.9972s S, 46 39m 40.5036s W",-23.5665161,-46.6612922
2549,"R. Cardoso de Almeida, 1225 - Perdizes, São Paulo - SP, 05013-001, Brazil",Perdizes,"23 32m 28.0183s S, 46 40m 13.7492s W",-23.5411162,-46.6704859
2550,"Rua Costa Aguiar, 2446 - Ipiranga, São Paulo - SP, 04204-002, Brazil",Ipiranga,"23 35m 44.8638s S, 46 36m 20.2612s W",-23.595733,-46.6055691
2551,"R. Herculano de Freitas, 75 - Bela Vista, São Paulo - SP, 01308-020, Brazil",Bela Vista,"23 33m 18.7027s S, 46 39m 8.05176s W",-23.5551954,-46.6522603
2552,"Alameda Fernão Cardim, 2a - Jardim Paulista, São Paulo - SP, 01403-020, Brazil",Jardim Paulista,"23 34m 12.0972s S, 46 39m 5.87412s W",-23.570092,-46.6516921
2553,"R. Heitor Peixoto, 316 - Cambuci, São Paulo - SP, 01543-000, Brazil",Cambuci,"23 34m 30.7268s S, 46 37m 26.8943s W",-23.5750643,-46.6241444
2554,"R. Carlos Escobar, 128 - Santana, São Paulo - SP, 02013-050, Brazil",Santana,"23 30m 8.0478s S, 46 38m 5.47404s W",-23.5022351,-46.6348806
2555,"R. Pontins, 86 - Santana, São Paulo - SP, 02404-010, Brazil",Santana,"23 29m 31.2652s S, 46 37m 46.0488s W",-23.4920508,-46.6294743
2556,"Condomínio Edifício Inaja - Rua Dr. José Estefno, 99 - Vila Mariana, São Paulo - SP, 04116-060, Brazil",Vila Mariana,"23 35m 38.3291s S, 46 37m 40.2172s W",-23.5939969,-46.6278733
2557,"R. Cantagalo, 298 - Tatuapé, São Paulo - SP, 03319-000, Brazil",Tatuapé,"23 32m 48.4462s S, 46 34m 14.804s W",-23.5468266,-46.5707451
2558,"R. França Pinto, 722 - Vila Mariana, São Paulo - SP, 04016-003, Brazil",Vila Mariana,"23 35m 16.5599s S, 46 38m 36.0625s W",-23.5879285,-46.6433128
2559,"R. Sabará, 52 - Higienópolis, São Paulo - SP, 01239-010, Brazil",Higienópolis,"23 32m 38.2567s S, 46 39m 13.2232s W",-23.5440476,-46.6535407
2560,"Av. das Nações Unidas, 8341 - Pinheiros, São Paulo - SP, 05425-070, Brazil",Pinheiros,"23 34m 22.0253s S, 46 41m 54.9078s W",-23.5727848,-46.6985855
2561,"Alameda Campinas, 718 - Jardim Paulista, São Paulo - SP, 01404-001, Brazil",Jardim Paulista,"23 34m 2.52336s S, 46 39m 17.1925s W",-23.5673883,-46.654737
2562,"R. Bahia, 609 - Higienópolis, São Paulo - SP, 01244-000, Brazil",Higienópolis,"23 32m 53.5783s S, 46 39m 38.3008s W",-23.5482715,-46.6605882
2563,"Rua Tucuna, 121 - Pompeia, São Paulo - SP, 05021-010, Brazil",Pompeia,"23 31m 45.728s S, 46 40m 53.3723s W",-23.5292868,-46.6815304
2564,"Rua Dr. Alfredo Ellis, 173 - Bela Vista, São Paulo - SP, 01322-050, Brazil",Bela Vista,"23 33m 47.2727s S, 46 38m 38.6736s W",-23.5631259,-46.6440962
2565,"R. Canário, 786 - Indianópolis, São Paulo - SP, 04521-003, Brazil",Indianópolis,"23 36m 7.90236s S, 46 40m 4.68048s W",-23.6023042,-46.6679043
2566,"Rua Peixoto Gomide, 1186 - Jardim Paulista, São Paulo - SP, 01409-000, Brazil",Jardim Paulista,"23 33m 47.0012s S, 46 39m 34.5762s W",-23.5631297,-46.6595924
2567,"Av. Jamaris, 603 - Planalto Paulista, São Paulo - SP, 04078-001, Brazil",Planalto Paulista,"23 36m 27.0803s S, 46 39m 28.9498s W",-23.6074378,-46.6581372
2568,"R. José Antônio Coelho, 412 - Vila Mariana, São Paulo - SP, 04011-061, Brazil",Vila Mariana,"23 34m 49.3176s S, 46 38m 40.4412s W",-23.5804867,-46.6445184
2569,"Condomínio Edif Luis Goes - Rua Luís Góis, 206 - Mirandópolis, São Paulo - SP, 04043-000, Brazil",Mirandópolis,"23 36m 14.4626s S, 46 37m 45.988s W",-23.6040174,-46.6294411
2570,"Cond Edifício Scliar - Rua Jerusalem, 60 - 121 - Vila Nova Conceição, São Paulo - SP, 04510-020, Brazil",Vila Nova Conceição,"23 35m 41.3974s S, 46 40m 11.014s W",-23.5948388,-46.6696803
2571,"Cond Edifício Ilhas Seychelles - R. São Geraldo, 70 - Perdizes, São Paulo - SP, 05004-030, Brazil",Perdizes,"23 31m 58.8832s S, 46 39m 56.5042s W",-23.5330429,-46.6656714
2572,"R. Pedroso Alvarenga, 183 - Itaim Bibi, São Paulo - SP, 04531-010, Brazil",Itaim Bibi,"23 34m 49.4598s S, 46 40m 23.3915s W",-23.5804396,-46.6733096
2573,"R. Maj. Freire, 730 - Vila Monte Alegre, São Paulo - SP, 04304-111, Brazil",Vila Monte Alegre,"23 37m 41.1593s S, 46 38m 1.31028s W",-23.6280464,-46.6337065
2574,"Condomínio Edifício Janda - R. Botucatu, 261 - Vila Clementino, São Paulo - SP, 04023-061, Brazil",Vila Clementino,"23 35m 37.423s S, 46 38m 31.4624s W",-23.5937398,-46.6421171
2575,"Condomínio Edifício Bristol - R. José Muniz dos Santos, 110 - Cidade Monções, São Paulo - SP, 04571-190, Brazil",Cidade Monções,"23 36m 23.5886s S, 46 41m 40.2486s W",-23.6066237,-46.6945701
2576,"Praça José Xavier Muniz, 192 - Alto da Lapa, São Paulo - SP, 05084-080, Brazil",Alto da Lapa,"23 31m 42.4128s S, 46 43m 11.7552s W",-23.5284394,-46.7198811
2577,"R. Diana, 715 - Perdizes, São Paulo - SP, 05019-000, Brazil",Perdizes,"23 32m 4.64136s S, 46 40m 55.4383s W",-23.5346105,-46.6820886
2578,"R. Piauí, 1145 - Higienópolis, São Paulo - SP, 01241-001, Brazil",Higienópolis,"23 32m 38.3215s S, 46 39m 41.7406s W",-23.543835,-46.6615255
2579,"Av. Nossa Senhora do Ó, 423 - Limão, São Paulo - SP, 02715-000, Brazil",Limão,"23 30m 15.0217s S, 46 40m 36.6139s W",-23.5044636,-46.6769242
2580,"Edifício Rosana - R. Jesuíno Arruda, 574 - Jardim Paulista, São Paulo - SP, 04532-081, Brazil",Jardim Paulista,"23 34m 56.2429s S, 46 40m 33.3937s W",-23.5822897,-46.6759427
2581,"R. da Mata, 108 - Itaim Bibi, São Paulo - SP, 04531-020, Brazil",Itaim Bibi,"23 34m 47.3858s S, 46 40m 34.4467s W",-23.5798323,-46.6760285
2582,"187 - Parque Buenos Aires - Higienópolis, São Paulo - SP, 01241-001, Brazil",Higienópolis,"23 32m 44.1838s S, 46 39m 25.4027s W",-23.5455271,-46.6570159
2583,"R. Emílio de Menezes, 19 - Santa Cecilia, São Paulo - SP, 12310-020, Brazil",Santa Cecilia,"23 32m 11.9526s S, 46 39m 35.3887s W",-23.536768,-46.6599009
2584,"Condomínio Edifício Villa de Segovia - Rua Vergueiro, 3169 - Vila Mariana, São Paulo - SP, 04101-300, Brazil",Vila Mariana,"23 35m 17.0286s S, 46 37m 57.1382s W",-23.5880635,-46.6325375
2585,"R. São José, 150 - Santo Amaro, São Paulo - SP, 04739-000, Brazil",Santo Amaro,"23 38m 43.8252s S, 46 42m 7.41816s W",-23.6455667,-46.7019597
2586,"R. Sabará, 563 - Higienópolis, São Paulo - SP, 01239-011, Brazil",Higienópolis,"23 32m 54.0704s S, 46 39m 19.4548s W",-23.5482841,-46.6554304
2587,"R. Itambé, 287 - Higienópolis, São Paulo - SP, 01239-001, Brazil",Higienópolis,"23 32m 50.8715s S, 46 39m 13.9252s W",-23.5474429,-46.6538725
2588,"R. Três de Maio, 51 - Vila Clementino, São Paulo - SP, 04044-020, Brazil",Vila Clementino,"23 36m 0.57528s S, 46 38m 30.9548s W",-23.6002713,-46.6419843
2589,"Condomínio Edifício Solarium - Rua Cayowaá, 1194 - Perdizes, São Paulo - SP, 05018-001, Brazil",Perdizes,"23 32m 19.3902s S, 46 41m 2.37012s W",-23.538727,-46.683976
2590,"R. Clodomiro Amazonas, 520 - Vila Nova Conceição, São Paulo - SP, 04537-001, Brazil",Vila Nova Conceição,"23 35m 19.244s S, 46 40m 44.1732s W",-23.5887131,-46.678849
2591,"R. Vitoantônio Del Vecchio, 350 - Parque da Mooca, São Paulo - SP, 03124-070, Brazil",Parque da Mooca,"23 34m 21.9558s S, 46 35m 28.7038s W",-23.5728136,-46.5913191
2592,"R. Itararé, 164 - Bela Vista, São Paulo - SP, 01308-030, Brazil",Bela Vista,"23 33m 17.4906s S, 46 39m 13.8568s W",-23.5549569,-46.6538549
2593,"R. Treze de Maio, 1361 - Bela Vista, São Paulo - SP, 01327-001, Brazil",Bela Vista,"23 33m 54.9047s S, 46 38m 41.4193s W",-23.5652344,-46.6450163
2594,"Av. Jandira, 850 - Indianópolis, São Paulo - SP, 04080-005, Brazil",Indianópolis,"23 36m 38.9833s S, 46 39m 29.1816s W",-23.6107631,-46.6579595
2595,"R. Marcos Fernandes, 20 - Jardim da Saúde, São Paulo - SP, 04149-120, Brazil",Jardim da Saúde,"23 37m 0.95772s S, 46 37m 32.6809s W",-23.616934,-46.625716
2596,"R. Leandro Dupret, 334 - Vila Clementino, São Paulo - SP, 04025-011, Brazil",Vila Clementino,"23 35m 50.3977s S, 46 38m 48.08s W",-23.5973327,-46.6466889
2597,"Alameda Itu, 1324 - Cerqueira César, São Paulo - SP, 04191-080, Brazil",Cerqueira César,"23 33m 33.7082s S, 46 39m 51.8792s W",-23.5593856,-46.6644146
2598,"R. Freire de Andrade, 39 - Vila Reg. Feijó, São Paulo - SP, 03334-010, Brazil",Vila Regente Feijó,"23 33m 10.9876s S, 46 34m 18.5344s W",-23.5531106,-46.5717714
2599,"Alameda Joaquim Eugênio de Lima, 1631 - Jardim Paulista, São Paulo - SP, 01403-003, Brazil",Jardim Paulista,"23 34m 25.6177s S, 46 39m 29.741s W",-23.573739,-46.6583082
2600,"R. Dona Antônia de Queirós, 163 - Consolação, São Paulo - SP, 01307-012, Brazil",Consolação,"23 33m 6.51096s S, 46 39m 10.251s W",-23.5516732,-46.6528534
2601,"Condomínio Venezza - R. Dr. Miranda de Azevedo, 802 - Pompeia, São Paulo - SP, 05027-000, Brazil",Pompeia,"23 31m 52.2192s S, 46 41m 28.5256s W",-23.531172,-46.6912571
2602,"Edifício Ibirapuera Tower - Av. Conselheiro Rodrigues Alves, 804 - Vila Mariana, São Paulo - SP, 04014-002, Brazil",Vila Mariana,"23 35m 6.04284s S, 46 38m 44.399s W",-23.5850119,-46.6456664
2603,"Rua Dona Veridiana, 82 - Higienópolis, São Paulo - SP, 01238-010, Brazil",Higienópolis,"23 32m 25.0969s S, 46 39m 2.18448s W",-23.5403096,-46.6505882
2604,"Av. Jamaris, 577 - Planalto Paulista, São Paulo - SP, 04078-001, Brazil",Planalto Paulista,"23 36m 26.6803s S, 46 39m 30.0791s W",-23.6073637,-46.6583578
2605,"R. Rodrigo Cláudio, 237 - Liberdade, São Paulo - SP, 01532-020, Brazil",Aclimação,"23 34m 19.4387s S, 46 38m 9.00024s W",-23.5719803,-46.6358123
2606,"Rua Harmonia, 942 - 1B - Sumarezinho, São Paulo - SP, 05435-001, Brazil",Sumarezinho,"23 33m 1.0296s S, 46 41m 28.4856s W",-23.5502845,-46.6913577
2607,"Rua Adalívia de Toledo, 115 - Paineiras do Morumbi, São Paulo - SP, 05684-030, Brazil",Paineiras do Morumbi,"23 36m 28.2654s S, 46 42m 30.9809s W",-23.6078581,-46.7085863
