,endereço,bairro,point_location,latitude,longitude
32,"R. Francisco de Vitória, 250 - Jardim Vila Mariana, São Paulo - SP, 04116-180, Brazil",Jardim Vila Mariana,"23 35m 29.7402s S, 46 37m 38.406s W",-23.5915449,-46.6273373
33,"Condomínio Edifício Queen Anne Boleyn - Alameda Casa Branca, 471 - Cerqueira César, São Paulo - SP, 01408-001, Brazil",Cerqueira César,"23 33m 54.9313s S, 46 39m 32.2607s W",-23.5651347,-46.6589002
34,"Rua Serra da Bocaina, 151 - Quarta Parada, São Paulo - SP, 03174-000, Brazil",Quarta Parada,"23 32m 47.9566s S, 46 35m 23.2152s W",-23.5467306,-46.5897511
35,"Rua Regente León Kaniefsky, 183 - Vila Progredior, São Paulo - SP, 05617-030, Brazil",Vila Progredior,"23 35m 28.4082s S, 46 43m 12.0965s W",-23.5911488,-46.719962
36,"R. Belchior de Azevedo, 202 - Vila Leopoldina, São Paulo - SP, 05089-030, Brazil",Vila Leopoldina,"23 31m 11.0201s S, 46 43m 27.1733s W",-23.5197194,-46.7242167
37,"R. Voltaire, 60 - Vila Mariana, São Paulo - SP, 04116-090, Brazil",Vila Mariana,"23 35m 38.4958s S, 46 37m 30.9338s W",-23.5940805,-46.6253567
38,"R. Gararu, 028 - Vila Nova Conceição, São Paulo - SP, 04513-060, Brazil",Vila Nova Conceição,"23 35m 47.5418s S, 46 40m 3.12564s W",-23.5965821,-46.6674053
39,"Alameda Min. Rocha Azevedo, 1129 - Cerqueira César, São Paulo - SP, 01410-003, Brazil",Cerqueira César,"23 33m 59.5472s S, 46 39m 52.1154s W",-23.5665198,-46.6644941
40,"Av. Engenheiro Luís Gomes Cardim Sangirardi, 430 - Vila Mariana, São Paulo - SP, 04112-080, Brazil",Vila Mariana,"23 34m 59.1244s S, 46 37m 45.4328s W",-23.5830901,-46.6292869
41,"R. Inhambu, 900 - Moema, São Paulo - SP, 04520-013, Brazil",Moema,"23 36m 7.62984s S, 46 40m 9.48s W",-23.6020722,-46.6693546
42,"Alameda Lorena, 75 - Jardim Paulista, São Paulo - SP, 01424-000, Brazil",Jardim Paulista,"23 34m 24.2695s S, 46 39m 22.3538s W",-23.5733092,-46.6560698
43,"R. Dr. Tomás Carvalhal, 362 - Paraíso, São Paulo - SP, 04003-030, Brazil",Paraíso,"23 34m 34.6415s S, 46 38m 41.6548s W",-23.5762962,-46.6449459
44,"R. do Rocio, 52 - Vila Olímpia, São Paulo - SP, 04552-000, Brazil",Vila Olímpia,"23 35m 35.8688s S, 46 41m 4.03332s W",-23.5934543,-46.6843239
45,"Condomínio Edifício Primavera - R. Galeno de Almeida, 207 - Cerqueira César, São Paulo - SP, 05410-030, Brazil",Cerqueira César,"23 33m 10.4386s S, 46 40m 40.629s W",-23.5528996,-46.6779525
46,"R. Agostinho Rodrigues Filho, 42 - Vila Clementino, São Paulo - SP, 04026-040, Brazil",Vila Clementino,"23 36m 2.4246s S, 46 38m 41.136s W",-23.6007618,-46.6446961
47,"R. Dr. Diogo de Faria, 477 - Vila Clementino, São Paulo - SP, 04037-001, Brazil",Vila Clementino,"23 35m 45.6893s S, 46 38m 28.8773s W",-23.5960112,-46.64136
48,"R. Luisiania, 355 - Brooklin, São Paulo - SP, 04560-021, Brazil",Brooklin,"23 36m 35.96s S, 46 40m 49.7327s W",-23.6099746,-46.6804737
49,"R. Crítios, 40 - Vila Suzana, São Paulo - SP, 05630-040, Brazil",Vila Suzana,"23 36m 43.362s S, 46 43m 57.8586s W",-23.612045,-46.7327385
50,"Av. Dra. Ruth Cardoso, 720 - Jardim Europa, São Paulo - SP, 01455-000, Brazil",Jardim Europa,"23 34m 50.7479s S, 46 41m 34.2388s W",-23.580753,-46.692954
51,"R. do Cristal, 62 - Vila Mariana, São Paulo - SP, 04113-010, Brazil",Vila Mariana,"23 35m 12.1114s S, 46 37m 34.6364s W",-23.5865922,-46.6263166
52,"Condomínio Edifício Brasília Royale - R. Pontins, 53 - Santana, São Paulo - SP, 02404-010, Brazil",Santana,"23 29m 31.5067s S, 46 37m 46.8084s W",-23.4920745,-46.6296689
53,"R. Dr. Rubens Gomes Bueno, 391 - Várzea de Baixo, São Paulo - SP, 04730-000, Brazil",Várzea de Baixo,"23 38m 30.4458s S, 46 43m 12.3478s W",-23.641774,-46.7201059
54,"R. Afonso de Freitas, 76 - Paraíso, São Paulo - SP, 04006-050, Brazil",Paraíso,"23 34m 28.4488s S, 46 38m 34.8835s W",-23.5745858,-46.6430151
55,"R. Décio, 151 - Vila da Saúde, São Paulo - SP, 04055-090, Brazil",Vila da Saúde,"23 37m 8.65344s S, 46 38m 27.3894s W",-23.6190741,-46.6409573
56,"Av. Mercedes, 135 - Lapa, São Paulo - SP, 05081-060, Brazil",Lapa,"23 31m 19.6097s S, 46 42m 43.2295s W",-23.521994,-46.712007
57,"Condomínio Edifício Torre de Marfim - Alameda Casa Branca, 1194 - Jardim Paulista, São Paulo - SP, 01406-000, Brazil",Jardim Paulista,"23 34m 11.185s S, 46 39m 50.4097s W",-23.5697666,-46.6639718
58,"Alameda Sarutaiá, 158 - Jardim Paulista, São Paulo - SP, 01403-010, Brazil",Jardim Paulista,"23 34m 11.716s S, 46 39m 12.4481s W",-23.5700104,-46.6534619
59,"Condomínio Edifício Vila Real - R. Girassol, 554 - Vila Madalena, São Paulo - SP, 05433-001, Brazil",Vila Madalena,"23 33m 14.4943s S, 46 41m 23.9226s W",-23.554079,-46.6900601
60,"R. Nebraska, 497 - Brooklin Novo, São Paulo - SP, 04560-011, Brazil",Brooklin Novo,"23 36m 35.7127s S, 46 40m 56.0849s W",-23.6098979,-46.682115
61,"R. Dr. José Carlos de Toledo Piza, 245 - Vila Andrade, São Paulo - SP, 05712-070, Brazil",Jardim Parque Morumbi,"23 37m 18.448s S, 46 43m 54.8998s W",-23.621793,-46.731906
62,"R. Afonso Celso, 1651 - Vila Mariana, São Paulo - SP, 04119-062, Brazil",Vila Mariana,"23 36m 21.978s S, 46 38m 5.901s W",-23.6061213,-46.6350447
63,"R. Dr. Alceu de Assis, 110 - Jardim Europa, São Paulo - SP, 01455-110, Brazil",Jardim Europa,"23 34m 45.0912s S, 46 41m 32.8798s W",-23.5791937,-46.6925563
64,"R. Itacema, 129 - Itaim Bibi, São Paulo - SP, 04530-050, Brazil",Itaim Bibi,"23 34m 45.6182s S, 46 40m 19.6442s W",-23.5792526,-46.6720447
